Branch,Category,State,12th Score,JEE Score
CE,SC,Other State,90,88
ME,ST,Other State,99,88
AI,MIN,Other State,100,91
DS,EX-SER,Other State,90,82
ME,GEN-EWS,Home State,94,90
IT,PWD,Home State,91,80
CS,EX-SER,Home State,95,85
DS,ST,Other State,96,88
EE,ST,Home State,100,97
ECE,SC,Home State,95,83
EE,SC,Other State,91,90
AI,PWD,Other State,96,85
ME,SBC,Other State,93,89
ME,GEN,Home State,99,83
CE,PWD,Other State,100,93
DS,MIN,Other State,94,84
AI,KM,Home State,94,97
AI,ST,Home State,95,84
CE,EX-SER,Home State,100,91
CE,GEN,Home State,92,97
IT,SC,Other State,92,80
DS,MIN,Other State,95,92
IT,SBC,Other State,97,83
IT,SBC,Other State,94,84
ME,MIN,Other State,96,93
ECE,OBC,Other State,97,97
ME,PWD,Other State,95,82
CE,GEN,Home State,99,97
CE,SC,Home State,93,87
EE,OBC,Home State,100,80
AI,PH,Home State,90,90
ME,GEN-EWS,Home State,97,80
EE,EX-SER,Home State,95,80
IT,KM,Home State,94,80
AI,GEN,Home State,99,82
CE,PH,Home State,96,84
ECE,GEN-EWS,Other State,100,93
ECE,PH,Other State,97,83
DS,ST,Home State,98,93
CE,PH,Home State,100,90
DS,PH,Home State,98,90
ECE,MIN,Other State,95,97
CE,GEN,Home State,100,81
ME,GEN,Other State,95,87
AI,GEN,Home State,100,95
DS,EX-SER,Other State,94,96
IT,SBC,Home State,94,92
EE,SBC,Other State,91,90
IT,SC,Other State,91,90
AI,EX-SER,Other State,91,95
EE,KM,Other State,94,96
CS,ST,Other State,96,83
AI,SBC,Home State,91,89
DS,PH,Home State,93,88
ME,KM,Home State,95,90
ME,KM,Home State,91,80
IT,PH,Other State,90,88
CE,OBC,Other State,90,92
IT,OBC,Home State,91,84
EE,GEN,Home State,90,91
ECE,EX-SER,Other State,90,85
ME,MIN,Other State,96,88
DS,KM,Home State,95,80
CS,MIN,Home State,92,85
CS,KM,Home State,99,97
IT,MIN,Other State,99,90
ECE,EX-SER,Other State,96,96
AI,EX-SER,Home State,99,89
DS,EX-SER,Other State,92,95
ECE,SC,Other State,95,89
CE,MIN,Home State,90,93
EE,OBC,Other State,99,81
EE,OBC,Other State,99,93
IT,OBC,Other State,90,82
ECE,PWD,Home State,91,80
DS,SBC,Home State,96,92
CS,OBC,Home State,95,96
EE,GEN,Other State,93,93
DS,MIN,Other State,92,84
CE,ST,Other State,95,96
IT,PWD,Home State,95,94
ECE,GEN,Home State,96,94
CE,PWD,Home State,91,86
AI,MIN,Home State,92,81
EE,PH,Home State,93,90
AI,SBC,Other State,92,82
EE,PH,Home State,93,93
CE,GEN,Home State,94,93
AI,SBC,Other State,90,93
CE,GEN,Other State,93,85
EE,GEN,Other State,100,85
AI,MIN,Other State,98,87
CE,PWD,Home State,90,86
IT,PH,Other State,100,97
DS,SBC,Other State,95,93
AI,OBC,Other State,93,82
AI,GEN-EWS,Other State,100,82
ECE,GEN-EWS,Home State,95,90
CE,PWD,Other State,98,83
CE,SBC,Home State,94,93
ECE,GEN,Other State,99,87
DS,GEN-EWS,Home State,91,85
CS,OBC,Other State,97,82
AI,GEN-EWS,Home State,96,88
ECE,ST,Home State,96,91
AI,GEN-EWS,Other State,94,93
DS,PWD,Home State,94,86
CS,KM,Home State,99,82
CE,SC,Home State,98,84
ME,GEN,Other State,99,91
ME,PH,Home State,100,81
AI,EX-SER,Other State,92,84
AI,ST,Home State,96,90
IT,SC,Home State,91,83
ECE,OBC,Home State,97,87
AI,GEN-EWS,Home State,97,81
ECE,SC,Other State,94,84
ECE,PH,Home State,100,97
DS,KM,Home State,93,88
IT,GEN-EWS,Other State,98,90
DS,PWD,Home State,99,93
AI,KM,Home State,97,91
IT,OBC,Other State,98,95
EE,EX-SER,Other State,90,97
AI,SC,Other State,94,86
ME,SC,Other State,95,94
CE,KM,Home State,98,91
DS,OBC,Home State,92,80
CE,MIN,Other State,92,91
CS,ST,Other State,96,97
CE,PH,Other State,99,91
CS,PH,Other State,98,85
DS,MIN,Other State,92,86
ME,KM,Other State,94,82
EE,KM,Other State,99,83
ECE,PWD,Other State,90,97
IT,PH,Home State,92,80
ECE,PH,Home State,97,92
ECE,GEN,Home State,96,88
CE,KM,Home State,98,82
AI,SC,Home State,95,86
ECE,EX-SER,Other State,98,92
ME,SC,Home State,90,87
CE,GEN-EWS,Other State,94,81
CE,PWD,Other State,94,81
CS,PH,Home State,90,91
ME,PH,Home State,100,96
EE,PWD,Home State,96,89
CE,EX-SER,Other State,97,97
IT,SBC,Home State,95,85
DS,MIN,Other State,90,92
AI,GEN,Other State,92,95
ECE,KM,Home State,97,89
ME,PWD,Home State,94,92
IT,GEN-EWS,Home State,99,89
AI,SBC,Home State,92,87
CS,PH,Other State,96,92
AI,GEN-EWS,Other State,90,91
ME,KM,Other State,98,90
DS,SBC,Other State,98,87
ME,EX-SER,Other State,98,80
EE,PH,Other State,90,96
DS,SC,Other State,92,83
CE,OBC,Home State,98,84
ME,OBC,Other State,100,80
CS,OBC,Home State,90,80
CE,SBC,Home State,97,91
IT,OBC,Home State,100,94
CS,ST,Home State,100,88
ECE,MIN,Home State,99,95
AI,SBC,Home State,98,81
CE,SBC,Home State,100,86
CS,MIN,Home State,90,89
DS,PWD,Home State,97,93
AI,MIN,Other State,97,85
DS,KM,Home State,94,93
DS,MIN,Home State,92,87
ME,ST,Home State,94,83
ME,EX-SER,Home State,93,88
EE,GEN-EWS,Home State,93,83
ME,SC,Home State,93,92
CE,EX-SER,Other State,91,82
AI,MIN,Other State,97,80
EE,OBC,Home State,100,84
AI,GEN-EWS,Home State,95,85
CS,KM,Home State,96,86
CS,SC,Home State,97,90
CS,GEN-EWS,Other State,95,91
ECE,PH,Home State,94,83
CE,PH,Other State,94,95
ECE,GEN,Other State,99,93
IT,SBC,Home State,92,92
CE,GEN-EWS,Other State,98,81
AI,EX-SER,Other State,93,88
AI,PWD,Other State,99,80
IT,SC,Home State,100,96
AI,EX-SER,Home State,90,86
EE,PWD,Other State,91,96
IT,KM,Other State,90,84
CE,GEN,Home State,95,86
